country,year,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg
ECU,2020,392,321,1667,424,2091,0.20277379244380678,0.185676850473874
ECU,2021,527,457,3008,634,3642,0.1740801757276222,0.1773931313033722
ECU,2022,580,549,3761,871,4632,0.18803972366148533,0.18306695098217074
ECU,2023,461,446,3157,812,3969,0.20458553791887124,0.18936243291841384
ECU,2024,408,391,2816,1008,3824,0.26359832635983266,0.24246953517181066
EGY,2014,9,8,73,6,79,0.0759493670886076,0.0533008658008658
EGY,2015,5,5,20,0,20,0.0,0.0
EGY,2016,2,2,2,2,4,0.5,0.5
EGY,2017,76,71,499,48,547,0.08775137111517367,0.08190487134149106
EGY,2018,66,58,397,29,426,0.06807511737089202,0.08093869731800767
EGY,2019,1794,1637,10774,1157,11931,0.09697426871175928,0.0881870020456183
EGY,2020,1646,1383,7556,500,8056,0.062065541211519366,0.05865923569764326
EGY,2021,1742,1487,7108,523,7631,0.06853623378325252,0.05956485145006464
EGY,2022,1671,1508,7603,742,8345,0.08891551827441582,0.07277112412876872
EGY,2023,1682,1475,7577,552,8129,0.0679050313691721,0.05505899976662426
EGY,2024,1308,1142,5286,571,5857,0.09749018268738262,0.07816430570131012
ERI,2009,1,0,0,0,0,,
ERI,2010,9,0,0,0,0,,
ERI,2011,14,0,0,0,0,,
ERI,2012,6,0,0,0,0,,
ERI,2013,4,0,0,0,0,,
ERI,2014,4,0,0,0,0,,
ERI,2015,8,0,0,0,0,,
ERI,2016,32,0,0,0,0,,
ERI,2017,6,0,0,0,0,,
ERI,2018,5,0,0,0,0,,
ERI,2019,2,0,0,0,0,,
ERI,2020,5,0,0,0,0,,
ERI,2021,8,0,0,0,0,,
ERI,2022,12,0,0,0,0,,
ERI,2023,19,0,0,0,0,,
ERI,2024,5,0,0,0,0,,
ESP,2011,378,373,1712,322,2034,0.1583087512291052,0.13361850803591688
ESP,2012,243,240,1521,258,1779,0.14502529510961215,0.10943462147292855
ESP,2013,236,236,1808,307,2115,0.14515366430260046,0.11077659443565577
ESP,2014,235,234,1508,251,1759,0.1426947129050597,0.12274806085822598
ESP,2015,265,263,1589,319,1908,0.16719077568134172,0.13493163718405596
ESP,2016,177,172,995,218,1213,0.179719703215169,0.12290234129175918
ESP,2017,305,301,1928,425,2353,0.1806204844878878,0.12229766976428505
ESP,2018,279,274,1785,426,2211,0.1926729986431479,0.15662719643895948
ESP,2019,129,126,925,265,1190,0.22268907563025211,0.2078622500284338
ESP,2020,303,295,1435,401,1836,0.21840958605664487,0.16100289298624615
ESP,2021,434,420,2459,588,3047,0.19297669839186085,0.15759455068802294
ESP,2022,452,437,2849,774,3623,0.21363510902566935,0.16770281057191458
ESP,2023,313,308,2046,555,2601,0.21337946943483277,0.15891068775943096
ESP,2024,695,683,4595,1370,5965,0.22967309304274938,0.19270770407269475
