country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio,v2x_polyarchy
CZE,2012,34,38,182,17,199,0.0854271356783919,0.894
CZE,2013,29,34,177,4,181,0.0220994475138121,0.87
CZE,2014,55,64,391,50,441,0.1133786848072562,0.857
CZE,2015,54,60,428,57,485,0.1175257731958762,0.857
CZE,2016,82,82,612,55,667,0.0824587706146926,0.857
CZE,2017,78,93,735,57,792,0.0719696969696969,0.842
CZE,2018,79,83,481,64,545,0.1174311926605504,0.817
CZE,2019,93,97,523,89,612,0.1454248366013072,0.808
CZE,2020,76,76,304,60,364,0.1648351648351648,0.815
CZE,2021,55,70,242,46,288,0.1597222222222222,0.794
CZE,2022,47,47,355,49,404,0.1212871287128712,0.857
CZE,2023,131,520,1853,298,2151,0.1385402138540213,0.869
CZE,2024,124,736,2802,483,3285,0.1470319634703196,0.87
DEU,2021,9,15,45,4,49,0.0816326530612244,0.864
DEU,2022,172,273,1316,214,1530,0.1398692810457516,0.854
DEU,2023,109,142,782,146,928,0.1573275862068965,0.854
DEU,2024,55,127,650,106,756,0.1402116402116402,0.839
DJI,2023,79,79,545,59,604,0.097682119205298,0.25
DJI,2024,50,50,292,49,341,0.1436950146627566,0.25
DNK,2014,3,3,9,5,14,0.3571428571428571,0.922
DNK,2015,5,12,74,3,77,0.0389610389610389,0.923
DNK,2016,4,8,26,10,36,0.2777777777777778,0.921
DNK,2018,1,21,79,57,136,0.4191176470588235,0.921
DNK,2022,5,14,91,17,108,0.1574074074074074,0.918
DNK,2023,8,16,85,17,102,0.1666666666666666,0.916
DNK,2024,3,10,58,12,70,0.1714285714285714,0.916
DOM,2020,253,267,1791,393,2184,0.1799450549450549,0.643
DOM,2021,1179,1179,7317,1663,8980,0.1851893095768374,0.687
DOM,2022,3178,4826,31101,9393,40494,0.2319602904133945,0.683
DOM,2023,3470,5524,35421,10530,45951,0.2291571456551544,0.683
DOM,2024,2968,4404,28276,9062,37338,0.2427018051315014,0.705
DZA,2017,1,1,2,0,2,0.0,0.307
DZA,2018,4,4,8,0,8,0.0,0.307
DZA,2019,20,20,59,3,62,0.0483870967741935,0.288
DZA,2020,16,16,46,4,50,0.08,0.278
DZA,2021,88,88,305,15,320,0.046875,0.277
DZA,2022,100,100,517,31,548,0.0565693430656934,0.267
DZA,2023,402,402,1902,227,2129,0.1066228276186002,0.265
DZA,2024,418,444,1829,172,2001,0.0859570214892553,0.259
ECU,2012,54,54,271,46,317,0.1451104100946372,0.589
ECU,2013,242,261,1093,175,1268,0.1380126182965299,0.541
ECU,2014,779,949,5489,1092,6581,0.1659322291445069,0.54
ECU,2015,239,241,1444,262,1706,0.1535756154747948,0.534
ECU,2016,165,165,1082,215,1297,0.1657671549730146,0.543
ECU,2017,322,322,2005,430,2435,0.1765913757700205,0.555
ECU,2018,274,288,1748,401,2149,0.1865984178687761,0.643
ECU,2019,258,258,1520,403,1923,0.2095683827353094,0.618
ECU,2020,267,321,1667,424,2091,0.2027737924438067,0.623
ECU,2021,450,457,3008,634,3642,0.1740801757276222,0.628
ECU,2022,496,549,3761,871,4632,0.1880397236614853,0.659
ECU,2023,398,446,3157,812,3969,0.2045855379188712,0.639
ECU,2024,388,391,2816,1008,3824,0.2635983263598326,0.651
EGY,2014,2,8,73,6,79,0.0759493670886076,0.135
EGY,2015,3,5,20,0,20,0.0,0.155
EGY,2016,1,2,2,2,4,0.5,0.178
EGY,2017,27,71,499,48,547,0.0877513711151736,0.177
EGY,2018,28,58,397,29,426,0.068075117370892,0.177
EGY,2019,710,1637,10774,1157,11931,0.0969742687117592,0.174
EGY,2020,610,1383,7556,500,8056,0.0620655412115193,0.175
EGY,2021,750,1487,7108,523,7631,0.0685362337832525,0.181
EGY,2022,758,1508,7603,742,8345,0.0889155182744158,0.184
EGY,2023,711,1475,7577,552,8129,0.0679050313691721,0.188
EGY,2024,546,1142,5286,571,5857,0.0974901826873826,0.186
ESP,2011,248,380,1739,328,2067,0.1586840832123851,0.893
ESP,2012,156,240,1521,258,1779,0.1450252951096121,0.892
ESP,2013,135,236,1808,307,2115,0.1451536643026004,0.872
ESP,2014,128,237,1517,253,1770,0.1429378531073446,0.872
ESP,2015,147,263,1589,319,1908,0.1671907756813417,0.854
ESP,2016,98,248,1093,246,1339,0.1837191934279313,0.847
ESP,2017,137,301,1928,425,2353,0.1806204844878878,0.833
ESP,2018,167,275,1785,427,2212,0.1930379746835443,0.854
ESP,2019,97,146,977,288,1265,0.2276679841897233,0.872
ESP,2020,174,315,1523,442,1965,0.2249363867684478,0.873
ESP,2021,253,420,2459,588,3047,0.1929766983918608,0.853
ESP,2022,251,437,2849,774,3623,0.2136351090256693,0.868
ESP,2023,183,308,2046,555,2601,0.2133794694348327,0.85
ESP,2024,267,683,4595,1370,5965,0.2296730930427493,0.829
EST,2008,4,4,16,3,19,0.1578947368421052,0.874
