country,year,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg,women_parl_pct,women_parl_ratio
CAN,2018,51,49,158,21,179,0.1173184357541899,0.0913348556205699,26.9461077844311,0.269461077844311
CAN,2019,54,54,163,17,180,0.0944444444444444,0.0710944919278252,28.9940828402367,0.289940828402367
CAN,2020,21,21,87,7,94,0.0744680851063829,0.0560090702947845,28.9940828402367,0.289940828402367
CAN,2021,23,21,64,23,87,0.264367816091954,0.1904761904761904,30.4733727810651,0.304733727810651
CAN,2022,2,1,11,7,18,0.3888888888888889,0.3888888888888889,30.4733727810651,0.304733727810651
CHE,2012,1,1,3,4,7,0.5714285714285714,0.5714285714285714,29.0,0.29
CHE,2013,2,2,8,2,10,0.2,0.1111111111111111,31.0,0.31
CHE,2014,71,67,260,60,320,0.1875,0.1638770847726071,31.0,0.31
CHE,2015,125,112,456,76,532,0.1428571428571428,0.1173142659867283,32.0,0.32
CHE,2016,91,84,373,70,443,0.1580135440180587,0.1335035169856598,32.0,0.32
CHE,2017,91,78,352,75,427,0.1756440281030445,0.1689303615774204,32.5,0.325
CHE,2018,76,70,347,63,410,0.1536585365853658,0.1716523754023754,32.5,0.325
CHE,2019,69,60,326,65,391,0.1662404092071611,0.1788604124633536,41.5,0.415
CHE,2020,25,18,94,11,105,0.1047619047619047,0.081021756021756,41.5,0.415
CHE,2021,18,13,79,8,87,0.0919540229885057,0.0943556443556443,42.5,0.425
CHE,2022,11,9,36,6,42,0.1428571428571428,0.283625730994152,41.5,0.415
CHE,2023,11,8,25,5,30,0.1666666666666666,0.1625,38.5,0.385
CHE,2024,15,10,25,10,35,0.2857142857142857,0.2619047619047619,38.5,0.385
CHL,2015,40,32,181,79,260,0.3038461538461538,0.3713390724879695,15.8333333333333,0.158333333333333
CHL,2016,23,21,25,27,52,0.5192307692307693,0.5962585034013606,15.8333333333333,0.158333333333333
CHL,2018,8,8,52,32,84,0.3809523809523809,0.3721813725490196,22.5806451612903,0.225806451612903
CHL,2019,254,228,1254,235,1489,0.157824042981867,0.166429553524389,22.5806451612903,0.225806451612903
CHL,2020,169,141,602,127,729,0.1742112482853223,0.2033340985222801,22.5806451612903,0.225806451612903
CHL,2021,331,277,1131,286,1417,0.2018348623853211,0.2100228801306524,35.4838709677419,0.354838709677419
CHL,2022,150,140,680,341,1021,0.3339862879529873,0.3638409275500164,35.4838709677419,0.354838709677419
CHL,2023,435,414,2149,707,2856,0.2475490196078431,0.264640026301155,35.4838709677419,0.354838709677419
CHL,2024,338,307,1660,557,2217,0.2512404149751917,0.2764216469261799,35.4838709677419,0.354838709677419
CHN,2014,77,8,41,3,44,0.0681818181818181,0.0317307692307692,23.40140609307,0.2340140609307
CHN,2015,73,8,41,4,45,0.0888888888888888,0.05625,23.6228455559311,0.236228455559311
CHN,2016,16,2,13,0,13,0.0,0.0,23.6228455559311,0.236228455559311
CHN,2017,20,0,0,0,0,,,24.2476060191518,0.242476060191518
CHN,2018,2,2,5,1,6,0.1666666666666666,0.125,24.8993288590604,0.248993288590604
CHN,2019,2,2,23,0,23,0.0,0.0,24.9411764705882,0.249411764705882
CHN,2020,6,4,21,0,21,0.0,0.0,24.9411764705882,0.249411764705882
CHN,2021,10,6,56,2,58,0.0344827586206896,0.0255681818181818,24.9411764705882,0.249411764705882
CHN,2022,22,5,12,2,14,0.1428571428571428,0.08,24.9411764705882,0.249411764705882
CHN,2023,28,3,24,7,31,0.2258064516129032,0.2809523809523809,26.5367819952973,0.265367819952973
CIV,2007,16,16,80,9,89,0.1011235955056179,0.1104166666666666,8.86699507389163,0.0886699507389163
CIV,2008,22,22,96,5,101,0.0495049504950495,0.0719696969696969,8.86699507389163,0.0886699507389163
CIV,2009,4,4,8,2,10,0.2,0.1666666666666666,8.86699507389163,0.0886699507389163
CIV,2010,4,4,19,0,19,0.0,0.0,8.86699507389163,0.0886699507389163
CIV,2011,15,15,42,6,48,0.125,0.0533333333333333,11.0236220472441,0.110236220472441
CIV,2012,50,50,245,27,272,0.0992647058823529,0.0886111111111111,10.4417670682731,0.104417670682731
CIV,2013,85,85,440,47,487,0.0965092402464065,0.0951607053077641,10.4417670682731,0.104417670682731
CIV,2014,50,50,238,27,265,0.1018867924528302,0.0959967532467532,9.44881889763779,0.0944881889763779
CIV,2015,74,74,363,42,405,0.1037037037037037,0.0868861016887332,9.16334661354582,0.0916334661354582
CIV,2016,67,67,389,49,438,0.1118721461187214,0.076681741057232,9.16334661354582,0.0916334661354582
CIV,2017,96,96,441,59,500,0.118,0.1104229993479471,10.5882352941176,0.10588235294117601
