country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio
EGY,2022,758,1508,7603,742,8345,0.08891551827441582
EGY,2023,711,1475,7577,552,8129,0.0679050313691721
EGY,2024,546,1142,5286,571,5857,0.09749018268738262
ESP,2011,248,380,1739,328,2067,0.1586840832123851
ESP,2012,156,240,1521,258,1779,0.14502529510961215
ESP,2013,135,236,1808,307,2115,0.14515366430260046
ESP,2014,128,237,1517,253,1770,0.14293785310734464
ESP,2015,147,263,1589,319,1908,0.16719077568134172
ESP,2016,98,248,1093,246,1339,0.1837191934279313
ESP,2017,137,301,1928,425,2353,0.1806204844878878
ESP,2018,167,275,1785,427,2212,0.1930379746835443
ESP,2019,97,146,977,288,1265,0.2276679841897233
ESP,2020,174,315,1523,442,1965,0.22493638676844785
ESP,2021,253,420,2459,588,3047,0.19297669839186085
ESP,2022,251,437,2849,774,3623,0.21363510902566935
ESP,2023,183,308,2046,555,2601,0.21337946943483277
ESP,2024,267,683,4595,1370,5965,0.22967309304274938
EST,2008,4,4,16,3,19,0.15789473684210525
EST,2009,19,20,57,7,64,0.109375
EST,2010,16,16,102,15,117,0.1282051282051282
EST,2014,35,35,158,30,188,0.1595744680851064
EST,2015,93,93,388,142,530,0.2679245283018868
EST,2016,149,149,688,177,865,0.2046242774566474
EST,2017,152,152,799,170,969,0.17543859649122806
EST,2018,56,56,201,38,239,0.1589958158995816
EST,2019,30,38,196,22,218,0.10091743119266056
EST,2020,20,26,95,21,116,0.1810344827586207
EST,2021,11,11,45,18,63,0.2857142857142857
EST,2022,75,86,420,92,512,0.1796875
EST,2023,146,192,1014,271,1285,0.21089494163424125
EST,2024,139,243,1357,383,1740,0.22011494252873562
FIN,2019,425,469,1478,625,2103,0.29719448407037563
FIN,2020,368,368,719,388,1107,0.35049683830171635
FIN,2021,423,448,1019,462,1481,0.31195138419986496
FIN,2022,475,535,1202,546,1748,0.3123569794050343
FIN,2023,198,219,561,299,860,0.34767441860465115
FIN,2024,370,384,861,404,1265,0.3193675889328063
FJI,2012,184,184,658,99,757,0.130779392338177
FJI,2013,1428,1436,5056,928,5984,0.15508021390374332
